,MP-ID,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
0,mp-7,-1,24875,S,0.846819876,0
1,mp-25,63,282,N,0.212178071,0.104164687
2,mp-35,-1,24875,Mn,0.846819876,0
3,mp-43,-1,24875,U,0.846819876,0
4,mp-83,38,22,S,0.468463758,0.972128757
5,mp-118,-1,24875,P,0.846819876,0
6,mp-155,168,30,Gd,0.260129616,1
7,mp-172,31,43,Nd,0.538096323,0.945455554
8,mp-183,107,493,Ce,0.439191259,0.881754915
9,mp-186,-1,24875,Si,0.846819876,0
10,mp-202,-1,24875,Te,0.846819876,0
11,mp-210,-1,24875,Ba,0.846819876,0
12,mp-216,66,39,O,0.740726755,0.529650522
13,mp-218,66,39,O,0.740726755,1
14,mp-223,-1,24875,O,0.846819876,0
15,mp-226,-1,24875,Fe,0.846819876,0
16,mp-230,-1,24875,O,0.846819876,0
17,mp-243,63,282,C,0.212178071,0.112747986
18,mp-254,-1,24875,F,0.846819876,0
19,mp-287,-1,24875,U,0.846819876,0
20,mp-294,-1,24875,O,0.846819876,0
21,mp-299,-1,24875,Mo,0.846819876,0
22,mp-306,-1,24875,O,0.846819876,0
23,mp-308,-1,24875,U,0.846819876,0
24,mp-310,73,15,Np,1,5.69E-09
25,mp-334,-1,24875,F,0.846819876,0
26,mp-337,107,493,Pu,0.439191259,0.804641557
27,mp-355,-1,24875,Nd,0.846819876,0
28,mp-356,11,51,Co,0.616232202,0.949614573
29,mp-368,-1,24875,P,0.846819876,0
30,mp-383,-1,24875,Te,0.846819876,0
31,mp-387,169,214,Ce,0.308432577,0.854612736
32,mp-392,110,45,U,0.656508826,0.889447382
33,mp-394,144,131,Ce,0.642687673,1
34,mp-397,-1,24875,Cd,0.846819876,0
35,mp-411,36,28,Co,0.915931655,1
36,mp-413,92,37,U,0.66472661,0.890806586
37,mp-449,56,59,Fe,0.666584855,0.858901559
38,mp-457,107,493,Ce,0.439191259,0.607741151
39,mp-466,-1,24875,Nb,0.846819876,0
40,mp-468,-1,24875,F,0.846819876,0
41,mp-472,74,52,U,0.237824832,1
42,mp-473,-1,24875,P,0.846819876,0
43,mp-491,110,45,La,0.656508826,1
44,mp-502,-1,24875,S,0.846819876,0
45,mp-519,172,39,U,0.799275767,0.922817112
46,mp-528,-1,24875,U,0.846819876,0
47,mp-531,-1,24875,Si,0.846819876,0
48,mp-566,-1,24875,Ce,0.846819876,0
49,mp-569,44,33,Co,0.747557307,0.524276494
50,mp-582,74,52,Ce,0.237824832,0.940307014
51,mp-588,-1,24875,F,0.846819876,0
52,mp-597,-1,24875,Ti,0.846819876,0
53,mp-604,-1,24875,O,0.846819876,0
54,mp-606,110,45,U,0.656508826,0.775287738
55,mp-607,73,15,Ce,1,1
56,mp-612,-1,24875,S,0.846819876,0
57,mp-614,63,282,O,0.212178071,0.106066474
58,mp-619,28,50,U,0.556914439,0.447711746
59,mp-639,-1,24875,U,0.846819876,0
60,mp-641,-1,24875,S,0.846819876,0
61,mp-644,-1,24875,Te,0.846819876,0
62,mp-654,11,51,Fe,0.616232202,0.490154587
63,mp-666,-1,24875,U,0.846819876,0
64,mp-679,66,39,O,0.740726755,1
65,mp-681,109,77,Eu,0.30949115,0.739054823
66,mp-690,-1,24875,S,0.846819876,0
67,mp-698,-1,24875,U,0.846819876,0
68,mp-702,107,493,Ce,0.439191259,0.830276217
69,mp-711,95,57,Ce,0.634396917,0.15921793
70,mp-723,-1,24875,Cr,0.846819876,0
71,mp-726,-1,24875,O,0.846819876,0
72,mp-733,-1,24875,O,0.846819876,0
73,mp-743,19,35,N,0.31065457,0.78502152
74,mp-748,-1,24875,Ti,0.846819876,0
75,mp-761,144,131,Ce,0.642687673,1
76,mp-764,44,33,Co,0.747557307,0.483000098
77,mp-774,44,33,Ni,0.747557307,1
78,mp-775,32,22,Er,0.793849002,0.534077635
79,mp-787,110,45,U,0.656508826,0.879329367
80,mp-807,172,39,Np,0.799275767,0.188623942
81,mp-809,44,33,Co,0.747557307,0.928209252
82,mp-812,66,39,O,0.740726755,1
83,mp-821,-1,24875,Nb,0.846819876,0
84,mp-843,11,51,Fe,0.616232202,0.542611568
85,mp-844,-1,24875,N,0.846819876,0
86,mp-853,44,33,Ni,0.747557307,0.75702636
87,mp-863,73,15,Pu,1,1
88,mp-878,-1,24875,S,0.846819876,0
89,mp-879,110,45,La,0.656508826,0.715619188
90,mp-880,11,51,Fe,0.616232202,0.599224994
91,mp-881,107,493,Np,0.439191259,0.820245203
92,mp-909,-1,24875,Se,0.846819876,0
93,mp-943,-1,24875,Co,0.846819876,0
94,mp-951,74,52,Ce,0.237824832,0.875150387
95,mp-956,-1,24875,U,0.846819876,0
96,mp-964,-1,24875,Cr,0.846819876,0
97,mp-973,-1,24875,U,0.846819876,0
98,mp-975,-1,24875,F,0.846819876,0
99,mp-976,-1,24875,V,0.846819876,0
100,mp-978,-1,24875,Sn,0.846819876,0
101,mp-980,145,70,U,0.578747282,0.809843242
102,mp-986,107,493,Ce,0.439191259,0.845703828
103,mp-995,74,52,Eu,0.237824832,1
104,mp-1015,115,30,Mn,0.715652515,0.894757813
